iter	MAE
0	0.7605698524
1	0.7358796584
2	0.7129779498
3	0.6917484435
4	0.6744278356
5	0.6547212208
6	0.6367895737
7	0.6200344229
8	0.6042714528
9	0.5896399736
10	0.5756345534
11	0.5618901046
12	0.5495931424
13	0.5390783829
14	0.529490998
15	0.51965378
16	0.5102769958
17	0.501664395
18	0.4940851568
19	0.4876420292
20	0.480609397
21	0.4751162521
22	0.4686073018
23	0.4640820223
24	0.4598221241
25	0.4551125127
26	0.4518096527
27	0.4474019433
28	0.443254517
29	0.4396365038
30	0.4370820854
31	0.4344434932
32	0.4314920284
33	0.4285317719
34	0.4263044019
35	0.4240654801
36	0.4221663337
37	0.4205754787
38	0.4191765456
39	0.41781645
40	0.4162350361
41	0.4148995603
42	0.4139218673
43	0.41248161
44	0.4114752317
45	0.4104661701
46	0.4094802658
47	0.4085200305
48	0.4077709654
49	0.407170609
50	0.4066911434
51	0.4057330451
52	0.4050486691
53	0.4045084267
54	0.4040559723
55	0.4035374658
56	0.4032994109
57	0.4028018086
58	0.4023026296
59	0.4017656151
60	0.4013352381
61	0.4008330584
62	0.4003430715
63	0.400008219
64	0.399711056
65	0.3993342821
66	0.3986783532
67	0.3984541586
68	0.3981299471
69	0.3979514327
70	0.3975186784
71	0.3972269107
72	0.3970352161
73	0.3969136576
74	0.3966229737
75	0.3963850096
76	0.3963228982
77	0.395915961
78	0.3955701161
79	0.395201576
80	0.3949291574
81	0.3945652068
82	0.3942960451
83	0.3941306773
84	0.3938448053
85	0.3936484195
86	0.3934824643
87	0.3933599203
88	0.3931741749
89	0.3927095608
90	0.3925295622
91	0.3922428219
92	0.392077294
93	0.3918356618
94	0.3916366485
95	0.3914797921
96	0.3913451455
97	0.3911790129
98	0.391034288
99	0.3907641441
100	0.3906236372
101	0.3905197637
102	0.3903572573
103	0.3902281273
104	0.3900887112
105	0.3899685657
106	0.389711776
107	0.389711545
108	0.3895502854
109	0.3894625066
110	0.389291634
111	0.3891468325
112	0.3890005691
113	0.3889142924
114	0.3887743156
115	0.3887285319
116	0.3885557111
117	0.3883672796
118	0.3882952316
119	0.3881003576
120	0.3879681335
121	0.3878414135
122	0.3876731368
123	0.3876235406
124	0.3875876594
125	0.3875442722
126	0.3875169742
127	0.3874648681
128	0.3874112082
129	0.3872630868
130	0.3871134178
131	0.3869791586
132	0.386868559
133	0.3867656497
134	0.3867287786
135	0.3866881887
