iter	Passed	Remaining
0	172	172542
1	200	100071
2	229	76118
3	256	63819
4	269	53585
5	294	48801
6	318	45251
7	342	42436
8	365	40300
9	389	38538
10	415	37355
11	439	36209
12	463	35183
13	490	34519
14	515	33862
15	541	33331
16	569	32956
17	596	32525
18	621	32091
19	646	31670
20	670	31267
21	693	30811
22	717	30493
23	737	29978
24	763	29763
25	786	29480
26	800	28838
27	825	28660
28	849	28455
29	875	28292
30	892	27899
31	913	27625
32	939	27529
33	968	27509
34	1005	27727
35	1036	27764
36	1066	27754
37	1097	27779
38	1124	27712
39	1152	27664
40	1181	27634
41	1208	27567
42	1229	27362
43	1253	27237
44	1278	27135
45	1305	27074
46	1330	26986
47	1357	26922
48	1383	26849
49	1408	26761
50	1429	26598
51	1456	26550
52	1483	26509
53	1511	26476
54	1538	26430
55	1569	26463
56	1578	26119
57	1605	26079
58	1633	26058
59	1661	26031
60	1704	26230
61	1731	26196
62	1759	26169
63	1785	26119
64	1810	26049
65	1837	26006
66	1862	25941
67	1887	25876
68	1912	25804
69	1937	25740
70	1962	25676
71	1988	25625
72	2014	25579
73	2034	25458
74	2058	25393
75	2093	25451
76	2106	25256
77	2131	25199
78	2161	25196
79	2188	25173
80	2217	25154
81	2243	25116
82	2272	25109
83	2302	25105
84	2332	25105
85	2360	25083
86	2390	25081
87	2417	25057
88	2444	25025
89	2473	25008
90	2501	24983
91	2527	24941
92	2553	24907
93	2579	24861
94	2606	24835
95	2633	24799
96	2661	24772
97	2691	24769
98	2718	24743
99	2744	24704
100	2773	24689
101	2801	24663
102	2830	24647
103	2857	24616
104	2883	24581
105	2909	24535
106	2934	24489
107	2942	24299
108	2967	24256
109	2991	24201
110	3016	24155
111	3041	24113
112	3066	24069
113	3091	24024
114	3116	23987
115	3142	23946
116	3173	23952
117	3202	23940
118	3232	23930
119	3259	23904
120	3287	23883
121	3315	23863
122	3343	23839
123	3371	23817
124	3394	23764
125	3424	23752
126	3451	23722
127	3477	23687
128	3501	23643
129	3528	23616
130	3555	23586
131	3583	23564
132	3608	23526
133	3634	23485
134	3654	23418
135	3679	23375
136	3703	23331
137	3730	23300
138	3756	23265
139	3781	23230
140	3806	23192
141	3830	23147
142	3839	23010
143	3865	22978
144	3892	22952
145	3907	22853
146	3961	22988
147	3993	22990
148	4025	22990
149	4057	22989
150	4082	22955
151	4108	22918
152	4135	22896
153	4164	22876
154	4192	22854
155	4217	22817
156	4241	22774
157	4274	22781
158	4301	22749
159	4314	22650
160	4339	22614
161	4367	22591
162	4394	22563
163	4416	22514
164	4444	22491
165	4471	22466
166	4499	22442
167	4525	22411
168	4551	22381
169	4579	22356
170	4604	22324
171	4629	22287
172	4654	22249
173	4679	22215
174	4705	22183
175	4730	22145
176	4755	22111
177	4781	22081
178	4807	22049
179	4834	22024
180	4861	21997
181	4888	21971
182	4913	21937
183	4941	21914
184	4967	21883
185	4994	21856
186	5020	21826
187	5047	21799
188	5075	21780
189	5123	21843
190	5163	21871
191	5191	21848
192	5217	21817
193	5244	21788
194	5271	21761
195	5295	21723
196	5322	21693
197	5347	21659
198	5374	21632
199	5402	21610
200	5428	21578
201	5453	21544
202	5479	21513
203	5507	21491
204	5534	21463
205	5561	21435
206	5587	21405
207	5611	21368
208	5637	21336
209	5662	21303
210	5688	21270
